alfisols_Area,andisols_Area,bjd_Nm,entisols_Area,etc_Area,histosols_Area,inceptisols_Area,mollisols_Area,stdg_Cd,ultisols_Area
0,0,경상북도 상주시 서문동,14,0,0,7,0,4725010800,0
4,0,경상북도 영천시 북안면 관리,0,8,0,365,0,4723039038,0
7,0,경상북도 상주시 함창읍 척동리,15,8,0,52,0,4725025030,6
13,0,경상북도 상주시 함창읍 태봉리,15,25,0,138,0,4725025031,20
71,0,경상북도 영천시 북안면 반정리,13,27,0,413,0,4723039041,0
2,0,경상북도 영천시 북안면 도유리,0,10,0,319,0,4723039024,0
2,0,경상남도 사천시 늑도동,0,5,0,43,0,4824012000,0
0,0,경상남도 사천시 신수동,0,12,0,101,0,4824012100,0
0,0,경상남도 사천시 백천동,69,19,0,561,0,4824012200,1
31,0,경상남도 사천시 대포동,0,3,0,30,0,4824012500,0
61,0,경상남도 사천시 송포동,1,7,0,352,0,4824012600,0
18,0,경상남도 밀양시 무안면 화봉리,47,11,0,642,0,4827038024,59
1,0,경상남도 밀양시 무안면 양효리,1,7,0,296,0,4827038026,79
1,0,경상북도 영천시 자양면 용화리,12,14,0,1326,0,4723036029,103
5,0,경상북도 영천시 임고면 양항리,64,42,0,211,0,4723037021,0
15,0,경상북도 영천시 임고면 덕연리,100,32,0,264,0,4723037023,0
72,0,경상북도 영천시 임고면 삼매리,71,41,0,853,0,4723037024,2
40,0,경상북도 영천시 임고면 황강리,5,5,0,95,0,4723037026,0
78,0,경상북도 영천시 임고면 효리,46,23,0,535,0,4723037027,0
18,0,경상북도 영천시 임고면 사리,29,71,0,1254,0,4723037029,0
32,0,경상북도 영천시 임고면 수성리,11,14,0,1746,0,4723037030,147
46,0,경상북도 영천시 자양면 충효리,28,86,0,951,0,4723036023,23
26,0,경상북도 영천시 북안면 상리,6,9,0,380,0,4723039021,70
22,0,경상북도 영천시 북안면 당리,2,7,0,227,0,4723039022,1
14,0,경상북도 영천시 자양면 신방리,2,7,0,685,0,4723036026,0
37,0,경상남도 김해시 삼계동,12,16,0,733,0,4825010700,206
53,0,경상남도 김해시 내동,57,14,0,126,0,4825010800,3
9,0,경상남도 사천시 곤명면 추천리,0,4,0,313,0,4824036021,0
6,0,경상남도 사천시 축동면 가산리,2,34,0,345,0,4824034026,0
0,0,경상남도 사천시 축동면 구호리,0,13,0,178,0,4824034027,0
89,0,경상남도 사천시 곤양면,93,179,0,5749,0,4824035000,2
0,0,경상남도 사천시 곤양면 남문외리,0,4,0,45,0,4824035022,0
2,0,경상남도 사천시 곤양면 서정리,0,15,0,359,0,4824035023,0
20,0,경상남도 사천시 곤양면 대진리,0,20,0,593,0,4824035025,0
0,0,경상남도 사천시 곤명면 송림리,1,7,0,315,0,4824036031,0
6,0,경상남도 사천시 곤양면 흥사리,0,9,0,705,0,4824035028,1
48,0,경상북도 영양군 청기면 정족리,23,35,0,1220,0,4776032034,0
10,0,경상북도 영천시 화산면 부계리,2,12,0,146,0,4723033034,0
21,0,경상북도 영천시 쌍계동,8,26,0,134,0,4723012500,0
94,0,경상북도 영천시 도남동,19,18,0,44,0,4723012600,0
50,0,경상북도 영천시 매산동,54,33,0,328,0,4723012700,0
