bjd_Nm,etc_Area,field_Grade1_Area,field_Grade2_Area,field_Grade3_Area,field_Grade4_Area,field_Grade5_Area,stdg_Cd
충청북도 음성군 원남면 덕정리,0,0,57,81,19,434,4377032033
충청북도 음성군 맹동면 쌍정리,3,0,94,93,34,146,4377033021
충청북도 음성군 맹동면 인곡리,1,0,53,72,82,156,4377033022
충청북도 음성군 맹동면 봉현리,8,0,97,77,61,24,4377033024
충청북도 음성군 맹동면 신돈리,1,0,36,48,19,16,4377033026
경기도 광주시 도척면 방도리,0,0,75,127,79,271,4161033023
충청남도 아산시 신창면 창암리,3,0,20,147,110,90,4420041023
충청남도 아산시 신창면 황산리,0,0,18,103,42,90,4420041024
충청남도 아산시 신창면 행목리,4,0,13,119,182,7,4420041025
충청남도 아산시 신창면 신달리,22,0,6,116,98,8,4420041027
충청남도 아산시 신창면 남성리,3,0,31,322,116,0,4420041028
충청남도 아산시 신창면 가덕리,36,0,28,199,84,7,4420041030
충청남도 아산시 신창면 신곡리,25,0,1,168,54,0,4420041031
충청남도 서산시,3988,131,9316,20132,13561,23675,4421000000
충청남도 서산시 읍내동,7,0,51,84,20,70,4421010100
충청남도 서산시 동문동,0,0,168,94,44,3,4421010200
경기도 구리시 토평동,220,257,57,5,51,0,4131010700
경기도 화성시 봉담읍 마하리,3,0,17,31,27,41,4159025331
전라남도 신안군 비금면 죽림리,43,0,2,181,75,229,4691034030
부산광역시 강서구 녹산동,71,0,5,69,106,278,2644011100
부산광역시 강서구 구랑동,8,0,1,82,118,283,2644011300
부산광역시 강서구 지사동,22,0,26,92,126,963,2644011400
부산광역시 강서구 범방동,46,0,7,201,57,122,2644011600
부산광역시 강서구 신호동,366,0,0,0,42,0,2644011700
경기도 화성시 팔탄면 지월리,6,0,15,68,24,94,4159036029
경기도 화성시 서신면 송교리,26,0,22,89,43,150,4159035025
경기도 화성시 송산면 용포리,24,0,24,169,23,48,4159034024
경기도 화성시 송산면 고정리,148,0,68,262,26,167,4159034025
경기도 화성시 송산면 천등리,3,0,46,50,53,75,4159034027
경기도 화성시 송산면 신천리,10,0,24,108,4,80,4159034028
경기도 화성시 송산면 마산리,8,0,30,119,86,121,4159034030
경기도 화성시 송산면 고포리,16,0,36,98,81,127,4159034031
경기도 화성시 송산면 중송리,5,0,38,65,62,115,4159034033
경기도 화성시 송산면 육일리,0,0,27,85,50,51,4159034034
경기도 화성시 서신면,251,11,300,1087,953,1731,4159035000
경기도 화성시 서신면 전곡리,60,0,33,90,214,272,4159035021
경상남도 고성군 고성읍 성내리,0,0,2,13,0,0,4882025021
경상남도 고성군 고성읍 서외리,0,0,1,26,5,16,4882025022
경상남도 고성군 고성읍 동외리,0,0,19,32,66,12,4882025024
경상남도 고성군 고성읍 송학리,7,0,14,41,126,0,4882025025
전라남도 순천시 낙안면 옥산리,3,0,47,48,14,22,4615038028
전라남도 구례군 마산면 광평리,13,5,85,52,19,123,4673034022
전라남도 강진군 군동면 파산리,14,0,77,185,59,261,4681031021
전라남도 강진군 군동면 라천리,4,0,38,197,19,110,4681031023
전라남도 강진군 군동면 화산리,15,1,76,218,89,552,4681031025
전라남도 강진군 군동면 용소리,34,3,27,154,51,379,4681031026
전라남도 강진군 군동면 장산리,17,2,60,79,59,462,4681031028
전라남도 강진군 군동면 덕천리,61,11,61,101,41,281,4681031029
전라남도 강진군 군동면 쌍덕리,5,0,30,80,56,22,4681031031
전라남도 강진군 군동면 금사리,22,0,36,78,30,432,4681031032
전라남도 강진군 칠량면,137,0,311,1097,675,3787,4681032000
전라남도 강진군 칠량면 동백리,2,0,45,86,36,406,4681032022
경상북도 상주시 성하동,0,5,0,0,0,0,4725010100
경상북도 상주시 성동동,2,19,98,40,8,1,4725010200
경상북도 상주시 복룡동,32,33,12,26,42,10,4725010400
경상북도 상주시 냉림동,10,8,36,10,9,8,4725010500
경상북도 상주시 남성동,0,39,4,17,0,2,4725010700
경상북도 상주시 서문동,0,14,0,7,0,0,4725010800
경상북도 영천시 북안면 관리,8,0,5,62,38,265,4723039038
경상북도 상주시 함창읍 척동리,8,12,39,20,5,4,4725025030
경상북도 상주시 함창읍 태봉리,25,0,43,126,16,2,4725025031
경상북도 영천시 북안면 반정리,27,12,81,116,44,244,4723039041
경상북도 영천시 북안면 도유리,10,0,5,49,66,200,4723039024
경상남도 사천시 늑도동,5,0,1,4,2,39,4824012000
경상남도 사천시 신수동,12,0,3,25,48,25,4824012100
경상남도 사천시 백천동,19,0,0,5,21,607,4824012200
경상남도 사천시 대포동,3,0,41,15,0,4,4824012500
경상남도 사천시 송포동,7,0,113,85,74,143,4824012600
경상남도 밀양시 무안면 화봉리,11,0,1,100,116,547,4827038024
경상남도 밀양시 무안면 양효리,7,0,13,76,95,194,4827038026
경상북도 영천시 자양면 용화리,14,0,0,25,91,1325,4723036029
경상북도 영천시 임고면 양항리,42,61,16,57,22,124,4723037021
경상북도 영천시 임고면 덕연리,32,83,20,57,37,182,4723037023
경상북도 영천시 임고면 삼매리,41,20,39,90,179,670,4723037024
경상북도 영천시 임고면 황강리,5,5,38,35,14,50,4723037026
경상북도 영천시 임고면 효리,23,36,73,140,47,363,4723037027
경상북도 영천시 임고면 사리,71,16,45,118,166,959,4723037029
경상북도 영천시 임고면 수성리,14,0,76,129,207,1526,4723037030
경상북도 영천시 자양면 충효리,86,0,25,37,135,852,4723036023
경상북도 영천시 북안면 상리,9,0,7,51,95,328,4723039021
경상북도 영천시 북안면 당리,7,2,58,22,18,150,4723039022
경상북도 영천시 자양면 신방리,7,0,18,63,86,533,4723036026
경상남도 김해시 삼계동,16,0,22,174,213,582,4825010700
경상남도 김해시 내동,14,0,34,36,78,93,4825010800
경상남도 사천시 곤명면 추천리,4,0,20,81,75,145,4824036021
경상남도 사천시 축동면 가산리,34,0,1,91,119,142,4824034026
경상남도 사천시 축동면 구호리,13,0,12,37,52,77,4824034027
경상남도 사천시 곤양면,179,1,106,1237,1081,3509,4824035000
경상남도 사천시 곤양면 남문외리,4,0,4,28,0,14,4824035022
경상남도 사천시 곤양면 서정리,15,0,19,93,58,191,4824035023
경상남도 사천시 곤양면 대진리,20,0,6,160,177,271,4824035025
경상남도 사천시 곤명면 송림리,7,1,9,78,37,191,4824036031
경상남도 사천시 곤양면 흥사리,9,0,7,127,103,476,4824035028
경상북도 영양군 청기면 정족리,35,21,47,62,165,996,4776032034
경상북도 영천시 화산면 부계리,12,2,11,25,18,101,4723033034
경상북도 영천시 쌍계동,26,8,18,36,21,80,4723012500
경상북도 영천시 도남동,18,16,74,55,9,3,4723012600
경상북도 영천시 매산동,33,48,71,133,34,145,4723012700
경상북도 영천시 언하동,17,19,81,44,27,32,4723012800
경상북도 영천시 서산동,29,2,48,110,45,417,4723013000
경상북도 영천시 금호읍,467,355,1234,874,463,1771,4723025000
경상북도 영천시 금호읍 덕성리,42,38,34,0,0,0,4723025022
경상북도 영천시 금호읍 대미리,15,0,64,66,34,174,4723025024
경상북도 영천시 금호읍 석섬리,0,0,72,18,6,16,4723025025
경상북도 영천시 금호읍 냉천리,57,78,66,1,11,0,4723025027
경상남도 김해시 주촌면 내삼리,14,0,56,86,154,386,4825032025
경상남도 김해시 한림면 신천리,7,0,38,72,181,177,4825034024
경상남도 김해시 주촌면 망덕리,8,0,43,28,19,57,4825032027
경상남도 김해시 주촌면 농소리,15,0,13,96,11,21,4825032028
경상남도 김해시 진례면 청천리,8,0,74,136,45,67,4825033021
경상남도 김해시 진례면 송정리,13,0,152,65,96,183,4825033023
경상남도 김해시 진영읍 좌곤리,17,0,82,39,124,36,4825025025
경상남도 김해시 진영읍 진영리,43,15,138,97,215,114,4825025026
경상남도 김해시 진영읍 여래리,2,0,60,43,69,113,4825025027
경상남도 김해시 진영읍 신용리,2,0,42,84,34,76,4825025029
경상남도 김해시 진영읍 내룡리,5,0,12,50,101,124,4825025031
경상남도 김해시 진영읍 죽곡리,13,0,12,66,45,91,4825025032
경상북도 영천시 대전동,18,28,50,35,18,76,4723012000
경상북도 영주시 순흥면 배점리,26,0,0,31,80,1396,4721037027
경상북도 영천시 교촌동,0,0,6,17,0,34,4723010700
경상북도 영천시 과전동,0,1,4,0,0,0,4723010800
경상북도 영천시 도동,46,55,88,36,8,28,4723011100
경상북도 영천시 완산동,48,62,161,42,20,175,4723011300
경상북도 영천시 범어동,12,3,7,124,91,227,4723011400
경상북도 영천시 봉동,6,16,79,68,6,56,4723011600
전라남도 보성군 겸백면 도안리,45,23,18,115,32,57,4678033025
경상북도 상주시 남장동,20,0,38,71,170,711,4725013500
경상북도 상주시 남적동,7,0,12,81,70,111,4725013600
경상북도 상주시 함창읍 오동리,0,0,43,210,11,5,4725025022
경상남도 통영시 용남면 어의리,2,0,0,0,20,21,4822031028
경상북도 구미시 도개면 가산리,107,0,95,157,59,72,4719033021
경상남도 양산시 원동면,536,111,277,660,1341,11953,4833032000
경기도 가평군 가평읍,727,161,550,1070,685,11314,4182025000
경상남도 창녕군 장마면 동정리,27,0,9,74,15,104,4874039027
경상남도 밀양시 무안면 판곡리,12,0,23,78,35,79,4827038029
경상남도 밀양시 초동면 검암리,37,2,39,122,143,52,4827037026
경상남도 밀양시 초동면 성만리,4,0,6,93,93,194,4827037028
경상북도 영천시 고경면 상덕리,5,7,20,62,34,262,4723038039
경상북도 영천시 고경면 가수리,11,12,27,57,17,128,4723038040
경상북도 영천시 고경면 삼산리,10,4,2,44,52,59,4723038042
충청남도 부여군 규암면 진변리,25,2,13,87,7,10,4476031031
