allcolluvm_Layer_Area,alluvm_Layer_Area,bjd_Nm,colluvm_Layer_Area,diluvm_Layer_Area,etc_Area,residum_Layer_Area,stdg_Cd
11,0,경상북도 영천시 금호읍 석섬리,0,72,0,29,4723025025
0,91,경상북도 영천시 금호읍 냉천리,0,66,57,0,4723025027
63,46,경상남도 김해시 주촌면 내삼리,125,20,14,426,4825032025
72,23,경상남도 김해시 한림면 신천리,74,11,7,288,4825034024
38,33,경상남도 김해시 주촌면 망덕리,10,29,8,37,4825032027
70,45,경상남도 김해시 주촌면 농소리,3,1,15,21,4825032028
65,75,경상남도 김해시 진례면 청천리,88,4,8,89,4825033021
74,136,경상남도 김해시 진례면 송정리,55,14,13,217,4825033023
24,163,경상남도 김해시 진영읍 좌곤리,35,9,17,49,4825025025
40,283,경상남도 김해시 진영읍 진영리,31,76,43,149,4825025026
39,9,경상남도 김해시 진영읍 여래리,57,25,2,156,4825025027
58,20,경상남도 김해시 진영읍 신용리,55,0,2,104,4825025029
48,5,경상남도 김해시 진영읍 내룡리,41,0,5,192,4825025031
60,24,경상남도 김해시 진영읍 죽곡리,23,0,13,109,4825025032
50,58,경상북도 영주시 안정면 안심리,0,2,11,56,4721035029
38,64,경상북도 영천시 대전동,2,27,18,78,4723012000
48,2,경상북도 영주시 순흥면 배점리,194,0,26,1265,4721037027
13,0,경상북도 영주시 순흥면 덕현리,185,0,3,844,4721037028
17,12,경상북도 영천시 오수동,9,40,27,51,4723012400
13,0,경상북도 영천시 교촌동,0,10,0,34,4723010700
0,1,경상북도 영천시 과전동,0,4,0,0,4723010800
35,32,경상북도 영천시 화룡동,6,89,10,69,4723011000
15,80,경상북도 영천시 도동,0,75,46,44,4723011100
45,81,경상북도 영천시 완산동,0,144,48,189,4723011300
103,3,경상북도 영천시 범어동,4,7,12,335,4723011400
32,27,경상북도 영천시 봉동,1,76,6,88,4723011600
76,16,경상남도 합천군 대양면 양산리,0,0,6,193,4889041028
92,63,경상북도 성주군 용암면 대봉리,16,0,12,371,4784032056
33,25,경상북도 성주군 용암면 상신리,50,0,9,549,4784032057
1001,921,경상북도 성주군 수륜면,1151,8,449,5430,4784033000
54,41,전라남도 보성군 겸백면 도안리,19,0,45,131,4678033025
42,60,경상북도 상주시 남장동,139,0,20,748,4725013500
79,53,경상북도 상주시 남적동,21,0,7,121,4725013600
883,1079,경상북도 상주시 함창읍,224,88,310,1770,4725025000
116,44,경상북도 상주시 함창읍 오동리,1,26,0,81,4725025022
21,66,경상북도 상주시 함창읍 증촌리,0,0,7,22,4725025024
0,0,경상남도 통영시 용남면 어의리,4,0,2,38,4822031028
